Key,UsedInMainMenu,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
brickCNRRamp,,blocks,Block,--,Brick Ramp Corner,Angle de rampe en brique,Ziegel – Rampenecke,,Esquina de rampa de ladrillo,
brickCNRRampFiller,,blocks,Block,--,Brick Ramp Corner Filler,,Ziegel – Rampenecke Füller,,,
brickCNRRound,,blocks,Block,--,Brick Corner Round,Angle arrondi en brique,Ziegel – Abgerundete Ecke,,Esquina redonda de ladrillo,
brickCNRRoundTop,,blocks,Block,newKey,Brick Corner Round Top,,,,,
brickCornerstone,,blocks,Block,newKey,Brick Cornerstone,,,,,
brickCTRpole,,blocks,Block,newKey,Brick Pole Centered,,,,,
brickCTRQuarter,,blocks,Block,newKey,Brick 1/4 Block Centered,,,,,
brickDestroyedBlock01,,blocks,Block,--,Brick Destroyed Block 01,Bloc de briques délabrées 1,"Zerbrochener, verwitterter Ziegel 1 – Block",,Bloque grieta de ladrillo deteriorado 1,
brickDestroyedBlock02,,blocks,Block,--,Brick Destroyed Block 02,Bloc de briques délabrées 2,"Zerbrochener, verwitterter Ziegel 2 – Block",,Bloque grieta de ladrillo deteriorado 2,
brickDestroyedBlock03,,blocks,Block,--,Brick Destroyed Block 03,Bloc de briques délabrées 3,"Zerbrochener, verwitterter Ziegel 3 – Block",,Bloque grieta de ladrillo deteriorado 3,
brickGable,,blocks,Block,newKey,Brick Gable,,,,,
brickGable1m,,blocks,Block,newKey,Brick Gable 1m,,,,,
brickGableInvertedHalf,,blocks,Block,newKey,Brick Gable Inverted Half,,,,,
brickGableInvertedQuarter,,blocks,Block,newKey,Brick Gable Inverted Quarter,,,,,
brickGableInvertedSteep,,blocks,Block,newKey,Brick Gable Inverted Steep,,,,,
brickGableQuarter,,blocks,Block,newKey,Brick Gable Quarter,,,,,
brickGroupDesc,,blocks,Block,--,Brick walls offer decent protection and can be upgraded to concrete later.,Les murs en brique vous offrent une bonne protection et peuvent ensuite être améliorés en béton.,Ziegelmauern bieten ganz guten Schutz und können später zu Beton aufgewertet werden.,,Las paredes de ladrillo ofrecen una buena protección y se pueden mejorar a hormigón.,
brickHalf,,blocks,Block,newKey,Brick 1/2 Block,,,,,
brickHalfCentered,,blocks,Block,newKey,Brick 1/2 Block CTR,,,,,
brickHalfCNRInside2,,blocks,Block,newKey,Brick 1/2 Block Corner Inside 2,,,,,
brickHalfRampStairs50,,blocks,Block,newKey,Brick 1/2 Ramp,,,,,
brickHalfRampStairs50Filler,,blocks,Block,newKey,Brick 1/2 Ramp Filler,,,,,
brickPlate,,blocks,Block,--,Brick Plate,Plaque en brique,Ziegel – Platte,,Placa de ladrillo,
brickPlateOffset,,blocks,Block,newKey,Brick Plate Offset,,,,,
brickPoleSCTR,,blocks,Block,newKey,Brick Pole SCTR,,,,,
brickPyramid1m,,blocks,Block,newKey,Brick Pyramid 1m,,,,,
brickQuarterCNR,,blocks,Block,newKey,Brick 1/4 Corner,,,,,
brickQuarterCNR3Way,,blocks,Block,newKey,Brick 1/4 Corner 3Way,,,,,
brickQuarterSCtr,,blocks,Block,newKey,Brick 1/4 SCtr,,,,,
brickQuarterTeeSCtr,,blocks,Block,newKey,Brick 1/4 T SCtr,,,,,
brickRamp,,blocks,Block,--,Brick Ramp,Rampe en brique,Ziegelrampe,,Rampa de ladrillo,
brickStairs25,,blocks,Block,newKey,Brick Stairs 25,,,,,
brickStairs25CornerCNR,,blocks,Block,--,Brick Stairs Corner,,Ziegel Stufenecke,,,
brickStairsFilledRailingLeft,,blocks,Block,newKey,"Brick Stairs, Railing Left",,,,,
brickStairsFilledRailingRight,,blocks,Block,newKey,"Brick Stairs, Railing Right",,,,,
brickTubeCenter,,blocks,Block,newKey,Brick Tube 3m Center,,,,,
brickTubeCorner,,blocks,Block,newKey,Brick Tube 3m Corner,,,,,
brickTunnelCenter,,blocks,Block,newKey,Brick Tunnel 3m Center,,,,,
brickTunnelCorner,,blocks,Block,newKey,Brick Tunnel 3m Corner,,,,,
brickWedge,,blocks,Block,newKey,Brick Wedge,,,,,
brickWedgeCNRInsideBottom,,blocks,Block,--,Brick Wedge Inside Corner Bottom,,Ziegel Schräge Innenecke Unten,,,
brickWedgeCNRInsideSteepBase,,blocks,Block,newKey,Brick Wedge Steep Inside Corner Base,,,,,
brickWedgeCNRInsideSteepTop,,blocks,Block,newKey,Brick Wedge Steep Inside Corner Top,,,,,
brickWedgeCNRInsideTop,,blocks,Block,--,Brick Wedge Inside Corner Top,,Ziegel Schräge Innenecke Oben,,,
brickWedgeCNRSteepBase,,blocks,Block,newKey,Brick Wedge Steep Corner Base,,,,,
brickWedgeCNRSteepTop,,blocks,Block,newKey,Brick Wedge Steep Corner Top,,,,,
brickWedgeIncline,,blocks,Block,--,Brick Wedge Incline,,Ziegel Dachvorsprung,,,
brickWedgeInclineCornerTop,,blocks,Block,newKey,Brick Wedge Incline Corner Top,,,,,
brickWedgeNarrowHigh,,blocks,Block,newKey,Brick Narrow Wedge High,,,,,
brickWedgeNarrowLow,,blocks,Block,newKey,Brick Narrow Wedge Low,,,,,
brickWedgeNarrowMid,,blocks,Block,newKey,Brick Narrow Wedge Mid,,,,,
brickWedgeNarrowTip,,blocks,Block,newKey,Brick Narrow Wedge Tip,,,,,
brickWedgeStairs,,blocks,Block,newKey,Brick Wedge Stairs,,,,,
brickWedgeTip,,blocks,Block,newKey,Brick Wedge Tip,,,,,
brickWedgeTipCNRFullBottom,,blocks,Block,--,Brick Wedge Full Corner Bottom,,Ziegel Schrägenspitze Komplette Ecke Unten,,,
brickWedgeTipCNRFullTop,,blocks,Block,--,Brick Wedge Full Corner Top,,Ziegel Schrägenspitze Komplette Ecke Oben,,,
brickWedgeTipStairs,,blocks,Block,newKey,Brick Wedge Tip Stairs,,,,,
brickWindowArch3MCNR,,blocks,Block,newKey,Brick 3m Arch Window Corner,,,,,
brickWindowArch3MCTR,,blocks,Block,newKey,Brick 3m Arch Window Center,,,,,
brickWindowArch3MTip,,blocks,Block,newKey,Brick 3m Arch Window Tip,,,,,
brickWindowArchTop,,blocks,Block,newKey,Brick Window Arch Top,,,,,
brickWindowCircle,,blocks,Block,newKey,Brick Window Circle,,,,,
brickWindowCircleCorner,,blocks,Block,newKey,Brick Window Circle Corner,,,,,
bridgeConcreteBlock,,blocks,Block,--,Bridge Concrete Block,Bloc de pont en béton,Brücke – Betonblock,,Puente Bloque de hormigón,
bridgeMetalRivetBlock,,blocks,Block,--,Bridge Metal Rivet Block,Bloc de pont à rivets métalliques,Brücke – Genieteter Metallblock,,Puente Bloque con remaches de metal,
bridgeWoodBlock,,blocks,Block,--,Bridge Wood Block,Bloc de pont en bois,Brücke – Holzblock,,Puente Bloque de madera,
bulletproofGlassGroupDesc,,blocks,Block,--,Bulletproof Glass can be repaired but requires completely new blocks of the same type as repair material.,,Panzerglas kann repariert werden aber verbraucht dabei Scheiben des genau gleichen Typs.,,,
burningBarrel,,blocks,Block,--,Burning Barrel (POI),Baril en feu,Brennendes Fass (POI),,Barril en llamas,
burningBarrelPlayer,,blocks,Block,--,Burning Barrel,Baril en feu,Brennendes Fass,,Barril en llamas,
burntWoodBlock1,,blocks,Block,--,Burnt Wood Block 1,Bardage en bois blanc brûlé 1,Verkohltes Holz – Block 1,,Panel de madera blanco para revestimiento quemado 1,
burntWoodBlock2,,blocks,Block,--,Burnt Wood Block 2,Bardage en bois blanc brûlé 2,Verkohltes Holz – Block 2,,Panel de madera blanco para revestimiento quemado 2,
burntWoodBlock3,,blocks,Block,--,Burnt Wood Block 3,Bardage en bois blanc brûlé 3,Verkohltes Holz – Block 3,,Panel de madera blanco para revestimiento quemado 3,
burntWoodBlock4,,blocks,Block,--,Burnt Wood Block 4,Bardage en bois blanc brûlé 4,Verkohltes Holz – Block 4,,Panel de madera blanco para revestimiento quemado 4,
burntWoodBlock5,,blocks,Block,--,Burnt Wood Block 5,Bardage en bois blanc brûlé 5,Verkohltes Holz – Block 5,,Panel de madera blanco para revestimiento quemado 5,
burntWoodBlock6,,blocks,Block,--,Burnt Wood Block 6,Bardage en bois blanc brûlé 6,Verkohltes Holz – Block 6,,Panel de madera blanco para revestimiento quemado 6,
burntWoodRamp7,,blocks,Block,--,Burnt Wood Ramp 7,Bardage en bois blanc brûlé 7,Verkohltes Holz – Rampe 7,,Panel de madera blanco para revestimiento quemado 7,
burntWoodRoof,,blocks,Block,newKey,Burnt Wood Roof,,,,,
burntWoodWedge7,,blocks,Block,--,Burnt Wood Wedge 7,Bardage en bois blanc brûlé 7,Verkohltes Holz – Schräge 7,,Panel de madera blanco para revestimiento quemado 7,
cable1,,blocks,Block,--,Cable1,Câble 1,Kabel 1,,Cable 1,
carsRandomHelper,,blocks,Block,--,= Cars = Random Helper,Voitures aléatoires,Zufällige Autos,,Coches al azar,
carsRandomHelperDesc,,blocks,Block,newKey,"Will randomly spawn (mostly) undamaged, (rare) damaged, (very rare) car wreck",,,,,
carWrecksRandomHelper,,blocks,Block,newKey,= Car Wrecks = Random Helper,,,,,
carWrecksRandomHelperDesc,,blocks,Block,newKey,Will randomly spawn car wrecks,,,,,
chainLink,,blocks,Block,--,Chain Link Fence,Grillage,Maschendrahtzaun,,Eslabón,
chainLinkCornerBottom,,blocks,Block,--,Chain Link Corner Bottom,Angle inférieur de grillage,Maschendrahtzaun – Untere Ecke,,Eslabón inferior de esquina,
chainLinkCornerTop,,blocks,Block,--,Chain Link Corner Top,Angle supérieur de grillage,Maschendrahtzaun – Obere Ecke,,Eslabón superior de esquina,
chainLinkFenceBottomPole,,blocks,Block,--,Chain Link Bottom Pole,Pied de poteau de grillage,Maschendrahtzaun – Unterer Zaunpfahl,,Poste de eslabón inferior de valla,
chainLinkFenceTop,,blocks,Block,--,Chain Link Top,Sommet de grillage,Maschendrahtzaun – Oberer Zaun,,Eslabón superior de valla,
chainLinkFenceTopPole,,blocks,Block,--,Chain Link Top Pole Right,Sommet de poteau de grillage,Maschendrahtzaun – Oberer Zaunpfosten,,Poste de eslabón superior de valla,
chainLinkFenceTopPole2,,blocks,Block,--,Chain Link Top Pole Left,Sommet de poteau de grillage 2,Maschendrahtzaun – Oberer Zaunpfosten 2,,Poste de eslabón superior de valla 2,
chainLinkPole,,blocks,Block,--,Chain Link Pole Single,Poteau de grillage,Maschendrahtzaun – Pfosten,,Poste de eslabón,
chairCouchSofa01,,blocks,Block,--,Sofa Chair 01,Chaise 01,Ledersessel 01,,Silla 01,
cinderBlocks01,,blocks,Block,--,Cinder Blocks 1,Parpaings 01,Porenbetonsteine 01,,Bloques de cemento 01,
cinderBlocks02,,blocks,Block,--,Cinder Blocks 2,Parpaings 02,Porenbetonsteine 02,,Bloques de cemento 02,
cinderBlocks03,,blocks,Block,--,Cinder Blocks 3,Parpaings 03,Porenbetonsteine 03,,Bloques de cemento 03,
clothGroupDesc,,blocks,Block,newKey,A dense roll of paper. Most should still be good to use.,,,,,
clothPillar100,,blocks,Block,newKey,Industrial Carpet Roll 100,,,,,
clothPillar50,,blocks,Block,newKey,Industrial Carpet Roll 50,,,,,
cntBarrelAcidQuadA,,blocks,Block,newKey,Acid Barrel Group A,,,,,
cntBarrelAcidQuadB,,blocks,Block,newKey,Acid Barrel Group B,,,,,
cntBarrelAcidSingle00,,blocks,Block,newKey,Acid Barrel,,,,,
cntBarrelAcidSingle45,,blocks,Block,newKey,Acid Barrel 45,,,,,
cntBarrelGasOld,,blocks,Block,--,Gas Barrel,Baril de pétrole,Benzinfass,,Barril de gas,
cntBarrelGasQuadA,,blocks,Block,newKey,Gas Barrel Group A,,,,,
cntBarrelGasQuadB,,blocks,Block,newKey,Gas Barrel Group B,,,,,
cntBarrelGasSingle00,,blocks,Block,newKey,Gas Barrel,,,,,
cntBarrelGasSingle45,,blocks,Block,newKey,Gas Barrel 45,,,,,
cntBarrelGenericQuadA,,blocks,Block,newKey,Rusty Barrel Group A,,,,,
cntBarrelGenericQuadB,,blocks,Block,newKey,Rusty Barrel Group B,,,,,
cntBarrelGenericSingle00,,blocks,Block,newKey,Rusty Barrel,,,,,
cntBarrelGenericSingle45,,blocks,Block,newKey,Rusty Barrel 45,,,,,
cntBarrelGroupDesc,,blocks,Block,newKey,Barrels can be looted and will explode if hit by zombies or destroyed by tools without harvest tags such as guns.\nThe player may catch an AOE debuff based on the barrel type.,,,,,
cntBarrelOilQuadA,,blocks,Block,newKey,Oil Barrel Group A,,,,,
cntBarrelOilQuadB,,blocks,Block,newKey,Oil Barrel Group B,,,,,
cntBarrelOilSingle00,,blocks,Block,newKey,Oil Barrel,,,,,
cntBarrelOilSingle45,,blocks,Block,newKey,Oil Barrel 45,,,,,
cntBarrelPlasticQuadA,,blocks,Block,newKey,Plastic Barrel Group A,,,,,
cntBarrelPlasticQuadB,,blocks,Block,newKey,Plastic Barrel Group B,,,,,
cntBarrelPlasticSingle00,,blocks,Block,newKey,Plastic Barrel,,,,,
cntBarrelPlasticSingle45,,blocks,Block,newKey,Plastic Barrel 45,,,,,
cntBarrelRadiatedQuadA,,blocks,Block,newKey,Radioactive Waste Barrel Group A,,,,,
cntBarrelRadiatedQuadB,,blocks,Block,newKey,Radioactive Waste Barrel Group B,,,,,
cntBarrelRadiatedSingle00,,blocks,Block,newKey,Radioactive Waste Barrel,,,,,
cntBarrelRadiatedSingle45,,blocks,Block,newKey,Radioactive Waste Barrel 45,,,,,
cntBarrelWhiteQuadA,,blocks,Block,newKey,White Barrel Group A,,,,,
cntBarrelWhiteQuadB,,blocks,Block,newKey,White Barrel Group B,,,,,
cntBarrelWhiteSingle00,,blocks,Block,newKey,White Barrel,,,,,
cntBarrelWhiteSingle45,,blocks,Block,newKey,White Barrel 45,,,,,
cobblestoneArch,,blocks,Block,newKey,Cobblestone Arch 2m,,,,,
cobblestoneArrowSlitHalf,,blocks,Block,newKey,Cobblestone Arrow Slit,,,,,
cobblestoneBlock,,blocks,Block,--,Cobblestone Block,Bloc de pavés,Pflastersteinblock,,Bloque de adoquines,
cobblestoneCNRFull,,blocks,Block,newKey,Cobblestone Full Corner,,,,,
cobblestoneCNRInside,,blocks,Block,newKey,Cobblestone Inside Corner,,,,,
cobblestoneCNRRamp,,blocks,Block,newKey,Cobblestone CNR Ramp,,,,,
cobblestoneCNRRampFiller,,blocks,Block,--,Cobblestone Ramp Corner Filler,,Pflasterstein – Rampenecke Füller,,,
cobblestoneCTRpole,,blocks,Block,newKey,cobblestone Pole Centered,,,,,
cobblestoneGableInvertedHalf,,blocks,Block,newKey,Cobblestone Gable Inverted Half,,,,,
cobblestoneGableInvertedQuarter,,blocks,Block,newKey,Cobblestone Gable Inverted Quarter,,,,,
cobblestoneGableInvertedSteep,,blocks,Block,newKey,Cobblestone Gable Inverted Steep,,,,,
cobblestoneGableQuarter,,blocks,Block,newKey,Cobblestone Gable Quarter,,,,,
cobblestoneGroupDesc,,blocks,Block,newKey,You get Cobblestone by upgrading Flagstone blocks. One of the strongest blocks you can build early on.,,,,,
cobblestoneHalf,,blocks,Block,newKey,cobblestone 1/2 Block,,,,,
cobblestonePillar100,,blocks,Block,newKey,Cobblestone Pillar 100,,,,,
cobblestonePillar50,,blocks,Block,newKey,Cobblestone Pillar 50,,,,,
cobblestonePlate,,blocks,Block,newKey,Cobblestone Plate,,,,,
cobblestonePlateOffset,,blocks,Block,newKey,Cobblestone Plate Offset,,,,,
cobblestonePole,,blocks,Block,newKey,Cobblestone Pole,,,,,
cobblestonePyramid,,blocks,Block,newKey,Cobblestone Pyramid,,,,,
cobblestoneQuarterCNR,,blocks,Block,newKey,Cobblestone 1/4 Corner,,,,,
cobblestoneQuarterCNR3Way,,blocks,Block,newKey,Cobblestone 1/4 Corner 3Way,,,,,
cobblestoneQuarterSCtr,,blocks,Block,newKey,Cobblestone 1/4 SCtr,,,,,
cobblestoneQuarterTeeSCtr,,blocks,Block,newKey,Cobblestone 1/4 T SCtr,,,,,
cobblestoneRamp,,blocks,Block,--,Cobblestone Ramp,Rampe en pavés,Pflastersteinrampe,,Rampa de adoquines,
cobblestoneStairs25,,blocks,Block,--,Cobblestone Stairs,Escaliers en pavés,Pflastersteinstufen,,Escaleras de adoquines,
cobblestoneStairs25CornerCNR,,blocks,Block,--,Cobblestone Stairs Corner,,Pflasterstein Stufenecke,,,
cobblestoneStairsFilledRailingLeft,,blocks,Block,newKey,"Cobblestone Stairs, Railing Left",,,,,
cobblestoneStairsFilledRailingRight,,blocks,Block,newKey,"Cobblestone Stairs, Railing Right",,,,,
cobblestoneSupport,,blocks,Block,newKey,Cobblestone Support,,,,,
cobblestoneWedge,,blocks,Block,newKey,Cobblestone Wedge,,,,,
cobblestoneWedgeCNRInsideBottom,,blocks,Block,--,Cobblestone Wedge Inside Corner Bottom,,Pflasterstein Schräge Innenecke Unten,,,
cobblestoneWedgeCNRInsideSteepBase,,blocks,Block,newKey,Cobblestone Wedge Steep Inside Corner Base,,,,,
cobblestoneWedgeCNRInsideSteepTop,,blocks,Block,newKey,Cobblestone Wedge Steep Inside Corner Top,,,,,
cobblestoneWedgeCNRInsideTop,,blocks,Block,--,Cobblestone Wedge Inside Corner Top,,Pflasterstein Schräge Innenecke Oben,,,
cobblestoneWedgeCNRSteepBase,,blocks,Block,newKey,Cobblestone Wedge Steep Corner Base,,,,,
cobblestoneWedgeCNRSteepTop,,blocks,Block,newKey,Cobblestone Wedge Steep Corner Top,,,,,
cobblestoneWedgeIncline,,blocks,Block,newKey,Cobblestone Wedge Incline,,,,,
cobblestoneWedgeStairs,,blocks,Block,newKey,Cobblestone Wedge Stairs,,,,,
cobblestoneWedgeTip,,blocks,Block,newKey,Cobblestone Wedge Tip,,,,,
cobblestoneWedgeTipCNRFullBottom,,blocks,Block,--,Cobblestone Wedge Full Corner Bottom,,Pflasterstein Schrägenspitze Komplette Ecke Unten,,,
cobblestoneWedgeTipCNRFullTop,,blocks,Block,--,Cobblestone Wedge Full Corner Top,,Pflasterstein Schrägenspitze Komplette Ecke Oben,,,
cobblestoneWedgeTipStairs,,blocks,Block,newKey,Cobblestone Wedge Tip Stairs,,,,,
cobweb,,blocks,Block,--,Cobweb,Toile d'araignée,Spinnennetz,,Telaraña,
cobwebDesc,,blocks,Block,--,A cobweb made by a spider. If this was Marvel it might mean something.,"La toile d'une araignée. Chez Marvel, ça aurait peut-être voulu dire quelque chose.","Das Netz einer Spinne. Wenn das hier Marvel wäre, dann könnte das auch etwas bedeuten.",,Una telaraña hecha por una araña. Si esto fuera Marvel podría significar algo.,
coffeeTable,,blocks,Block,newKey,Coffee Table,,,,,
commercialBlindsBottom,,blocks,Block,newKey,Commercial Blinds Bottom,,,,,
commercialBlindsTop,,blocks,Block,newKey,Commercial Blinds Top,,,,,
concreteArch,,blocks,Block,newKey,Concrete Arch 2m,,,,,
concreteArrowSlitHalf,,blocks,Block,newKey,Concrete Arrow Slit,,,,,
concreteBarrier1,,blocks,Block,newKey,Concrete Barrier 1,,,,,
concreteBarrier2,,blocks,Block,newKey,Concrete Barrier 2,,,,,
concreteBarrier3,,blocks,Block,newKey,Concrete Barrier 3,,,,,
concreteBlock,,blocks,Block,--,Concrete Block,Bloc de béton,Betonblock,,Bloque de hormigón,
concreteBlockBaseboard1,,blocks,Block,newKey,Concrete Block Baseboard 1,,,,,
concreteBlockBaseboard4,,blocks,Block,newKey,Concrete Block Baseboard 4,,,,,
concreteBlockBaseboardChairRail1,,blocks,Block,newKey,Concrete Block Baseboard Chair Rail 1,,,,,
concreteBlockBaseboardChairRail4,,blocks,Block,newKey,Concrete Block Baseboard Chair Rail 4,,,,,
concreteBlockTileBroken01,,blocks,Block,newKey,"Concrete Block, Broken Tile",,,,,
concreteCNRFull,,blocks,Block,--,Concrete Full Corner,Angle complet en béton,Beton – Komplette Ecke,,Esquina de hormigón,
concreteCNRInside,,blocks,Block,--,Concrete Inside Corner,Angle intérieur en béton,Beton – Innenecke,,Esquina interior de hormigón,
concreteCNRRamp,,blocks,Block,--,Concrete Ramp Corner,Angle de rampe en béton,Beton – Rampenecke,,Esquina de rampa de hormigón,
concreteCNRRampFiller,,blocks,Block,--,Concrete Ramp Corner Filler,,Beton – Rampenecke Füller,,,
concreteCNRRound,,blocks,Block,newKey,Concrete Corner Round,,,,,
concreteCNRRoundTop,,blocks,Block,newKey,Concrete Corner Round Top,,,,,
concreteCornerstone,,blocks,Block,newKey,Concrete Cornerstone,,,,,
concreteCTRPlate,,blocks,Block,--,Concrete Plate Centered,Plaque centrée en béton,Betonplatte mittig,,Placa de hormigón centrada,
concreteCTRpole,,blocks,Block,newKey,Concrete Pole Centered,,,,,
concreteCTRQuarter,,blocks,Block,newKey,Concrete 1/4 Block Centered,,,,,
concreteDestroyed01,,blocks,Block,newKey,Concrete Destroyed 01,,,,,
concreteDestroyed02,,blocks,Block,newKey,Concrete Destroyed 02,,,,,
concreteDestroyed03,,blocks,Block,newKey,Concrete Destroyed 03,,,,,
concreteDestroyed04,,blocks,Block,newKey,Concrete Destroyed 04,,,,,
concreteDestroyed05,,blocks,Block,newKey,Concrete Destroyed 05,,,,,
concreteDestroyed06,,blocks,Block,newKey,Concrete Destroyed 06,,,,,
concreteDestroyed07,,blocks,Block,newKey,Concrete Destroyed 07,,,,,
concreteEighth,,blocks,Block,--,Concrete 1/8 Block,1/8 de bloc de béton,1/8 Betonblock,,1/8 de bloque de hormigón,
concreteGable1m,,blocks,Block,newKey,Concrete Gable 1m,,,,,
concreteGableInvertedHalf,,blocks,Block,newKey,Concrete Gable Inverted Half,,,,,
concreteGableInvertedQuarter,,blocks,Block,newKey,Concrete Gable Inverted Quarter,,,,,
concreteGableInvertedSteep,,blocks,Block,newKey,Concrete Gable Inverted Steep,,,,,
concreteGableQuarter,,blocks,Block,newKey,Concrete Gable Quarter,,,,,
